מחוז,רשות,אשכול,מזהה כיתה,שם כיתה,סמל,מודל,שם מוסד,סוג חינוך,סוג מוסד,מחיר,תשלומים,כמות ילדים ,ת. הרשמה ,ת. התחלה,ת.סיום
מרכז,בני ברק ,3,719534,מכינה לירון,719534,1,כינור דוד ,רגיל ,גן ,500,3,27,29/07/2018,01/09/2018,30/06/2019
מרכז,בני ברק ,3,5112531,כיתה א',511253,2,פנינת בית יעקב ,רגיל ,"בי""ס ",500,3,56,29/07/2018,01/09/2018,30/06/2019
מרכז,בני ברק ,3,5112532,כיתה ב',511253,2,פנינת בית יעקב ,רגיל,"בי""ס",500,3,56,29/07/2018,01/09/2018,30/06/2019
מרכז,בני ברק ,3,732545,גיל 4 בנים,732545,1,אוהלי אברהם ,רגיל ,גן ,500,3,29,29/07/2018,01/09/2018,30/06/2019
מרכז,בני ברק ,3,727834,גן חובה,727834,1,ותתפלל חנה ,רגיל ,גן,500,3,30,29/07/2018,01/09/2018,30/06/2019
מרכז,בני ברק ,3,7292361,כיתה א',729236,5,תפארת שרה ,רגיל,"בי""ס יוח""א ",0,3,39,29/07/2018,01/09/2018,30/06/2019
מרכז,בני ברק ,3,7292362,כיתה ב',729236,5,תפארת שרה ,רגיל ,"בי""ס יוח""א ",0,3,39,29/07/2018,01/09/2018,30/06/2019
מרכז,בני ברק ,3,737272,גילאי 3-4,737272,1,ותתפלל חנה ,רגיל ,גן ,500,3,29,29/07/2018,01/09/2018,30/06/2019
מרכז,אור יהודה ,4,562959,מירי צדקה ,562959,1,גן מעיין,רגיל,גן ,350,10,26,29/07/2018,01/09/2018,30/06/2019
מרכז,אור יהודה ,4,562942,מירי הררי,562942,1,גן עדן ,רגיל,גן,350,10,23,29/07/2018,01/09/2018,30/06/2019
מרכז,אור יהודה ,4,358770,מירי בן שושן,358770,1,מאור ישראל ,רגיל,גן,350,10,25,29/07/2018,01/09/2018,30/06/2019
מרכז,לוד,4,7390371,כיתה א',739037,2,"רשב""י",רגיל ,"בי""ס",0,10,52,29/07/2018,01/09/2018,30/06/2019
מרכז,לוד,4,7390372,כיתה ב',739037,2,"רשב""י",רגיל,"בי""ס",0,10,52,29/07/2018,01/09/2018,30/06/2019
מרכז,לוד,4,526848,גן דבורי,526848,1,בנות יוסף,רגיל,גן,250,10,32,29/07/2018,01/09/2018,30/06/2019
מרכז,לוד,4,731356,גן גיל 4,731356,1,בני יוסף,רגיל,גן,250,10,35,29/07/2018,01/09/2018,30/06/2019
מרכז,לוד,4,526830,גן גיל 3,526830,1,בני יוסף,רגיל,גן,250,10,35,29/07/2018,01/09/2018,30/06/2019
מרכז,לוד,4,718916,גן יעל ,718916,1,בנות יוסף,רגיל,גן,250,10,30,29/07/2018,01/09/2018,30/06/2019
מרכז,לוד,4,741884,גן מכינה ,741884,1,בני יוסף,רגיל,גן,250,10,34,29/07/2018,01/09/2018,30/06/2019
צפון,מעלות ,4,710715,גן ליאת ,710715,1,גן בנות,רגיל,גן,350,10,28,29/07/2018,01/09/2018,30/06/2019
צפון,מעלות ,4,546636,גן חובה,546663,1,גן בנות 1,רגיל,גן,180,10,28,29/07/2018,01/09/2018,30/06/2019
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
