מחוז,רשות,אשכול,סמל,מודל,שם מוסד,סוג חינוך,סוג מוסד,מחיר,כמות ילדים ,ת. הרשמה ,ת. התחלה,ת.סיום
מרכז,בית שמש ,3,136010,12,חניכי הישיבות ,מיוחד,"בי""ס יוח""א ",0,32,29/07/2018,01/09/2018,30/06/2019
מרכז,בית שמש ,3,499731,5,אורחות אימותינו,רגיל ,"בי""ס יוח""א ",0,61,29/07/2018,01/09/2018,30/06/2019
מרכז,בית שמש ,3,273086,5,בית יעקב רמת בית שמש ,רגיל ,"בי""ס יוח""א ",0,36,29/07/2018,01/09/2018,30/06/2019
מרכז,בית שמש ,3,124057,5,מגן אבות ,רגיל ,"בי""ס יוח""א ",0,34,29/07/2018,01/09/2018,30/06/2019
מרכז,בית שמש ,3,511402,5,עוז והדר ,רגיל,"בי""ס יוח""א ",0,35,29/07/2018,01/09/2018,30/06/2019
מרכז,בית שמש ,3,114397,5,חיי שרה,רגיל ,"בי""ס יוח""א ",0,30,29/07/2018,01/09/2018,30/06/2019
מרכז,בית שמש ,3,511469,5,בנות הדסה ,רגיל,"בי""ס יוח""א ",0,33,29/07/2018,01/09/2018,30/06/2019
מרכז,בית שמש ,3,611848,5,תורת שלום ,רגיל,"בי""ס יוח""א ",0,73,29/07/2018,01/09/2018,30/06/2019
מרכז,בית שמש ,3,36723,1,אור החיים ,רגיל,גן ,500,31,29/07/2018,01/09/2018,30/06/2019
מרכז,בית שמש ,3,455352,1,תורת שלום,רגיל,גן ,500,32,29/07/2018,01/09/2018,30/06/2019
מרכז,בית שמש ,3,713347,1,בנות מלכה,רגיל,גן ,500,28,29/07/2018,01/09/2018,30/06/2019
מרכז,בית שמש ,3,713396,1,בנות מלכה,רגיל,גן ,500,30,29/07/2018,01/09/2018,30/06/2019
מרכז,בית שמש ,3,454439,1,עוז והדר ,רגיל,גן ,500,35,29/07/2018,01/09/2018,30/06/2019
מרכז,בית שמש ,3,455253,1,תורת שלום ,רגיל,גן ,500,28,29/07/2018,01/09/2018,30/06/2019
מרכז,בית שמש ,3,547075,1,חניכי הישיבות ,רגיל,גן ,500,25,29/07/2018,01/09/2018,30/06/2019
מרכז,בית שמש ,3,547083,1,חניכי הישיבות ,רגיל,גן ,500,25,29/07/2018,01/09/2018,30/06/2019
מרכז,בית שמש ,3,711887,1,חניכי הישיבות ,רגיל,גן ,500,20,29/07/2018,01/09/2018,30/06/2019
מרכז,בית שמש ,3,712125,1,חניכי הישיבות ,רגיל,גן ,500,23,29/07/2018,01/09/2018,30/06/2019
מרכז,בית שמש ,3,710764,1,חניכי הישיבות ,רגיל,גן ,500,27,29/07/2018,01/09/2018,30/06/2019
מרכז,בית שמש ,3,730796,7,מגי,מיוחד,גן ,500,12,29/07/2018,01/09/2018,30/06/2019
מרכז,בית שמש ,3,379982,7,מגי,מיוחד,גן ,500,12,29/07/2018,01/09/2018,30/06/2019
מרכז,בית שמש ,3,424457,7,מגי,מיוחד,גן ,500,12,29/07/2018,01/09/2018,30/06/2019
מרכז,בית שמש ,3,376558,7,מגי ,מיוחד,גן ,500,12,29/07/2018,01/09/2018,30/06/2019
מרכז,בית שמש ,3,710590,1,חניכי הישיבות ,רגיל ,גן ,500,20,29/07/2018,01/09/2018,30/06/2019
מרכז,בית שמש ,3,453696,1,ילקוט יוסף ,רגיל ,גן ,500,20,29/07/2018,01/09/2018,30/06/2019
מרכז,בית שמש ,3,153858,1,תפארת החיים,רגיל ,גן ,500,21,29/07/2018,01/09/2018,30/06/2019
מרכז,ביתר עילית ,3,363135,5,חפץ חיים ,רגיל ,"בי""ס יוח""א ",0,54,29/07/2018,01/09/2018,30/06/2019
מרכז,ביתר עילית ,3,713677,1,חפץ חיים ,רגיל ,גן ,500,28,29/07/2018,01/09/2018,30/06/2019
מרכז,ביתר עילית ,3,713966,1,חפץ חיים ,רגיל ,גן,500,29,29/07/2018,01/09/2018,30/06/2019
מרכז,ביתר עילית ,3,727214,1,חפץ חיים ,רגיל ,גן ,500,33,29/07/2018,01/09/2018,30/06/2019
מרכז,ביתר עילית ,3,359208,5,דרכי איש,רגיל ,"בי""ס יוח""א ",0,47,29/07/2018,01/09/2018,30/06/2019
מרכז,ביתר עילית ,3,429175,1,תורת חסד ,רגיל ,גן ,500,31,29/07/2018,01/09/2018,30/06/2019
